STATE,COUNTY,PS-WGWFr,PS-WGWSa,PS-WSWFr,PS-WSWSa,DO-WGWFr,DO-WSWFr,IN-WGWFr,IN-WGWSa,IN-WSWFr,IN-WSWSa,IR-WGWFr,IR-WSWFr,IR-IrSpr,IR-IrMic,IR-IrSur,IC-WGWFr,IC-WSWFr,IC-IrSpr,IC-IrMic,IC-IrSur,IG-WGWFr,IG-WSWFr,IG-IrSpr,IG-IrMic,IG-IrSur,LI-WGWFr,LI-WSWFr,AQ-WGWFr,AQ-WGWSa,AQ-WSWFr,AQ-WSWSa,MI-WGWFr,MI-WGWSa,MI-WSWFr,MI-WSWSa,PT-WGWFr,PT-WGWSa,PT-WSWFr,PT-WSWSa,PO-WGWFr,PO-WGWSa,PO-WSWFr,PO-WSWSa,PC-WGWFr,PC-WGWSa,PC-WSWFr,PC-WSWSa
AL,Chilton County,3.06,0.00,1.83,0.00,0.74,0.00,0.35,0.00,0.00,0.00,1.12,0.03,0.71,0.05,0.01,1.12,0.00,0.65,0.05,0.01,0.00,0.03,0.06,0.00,0.00,0.07,0.11,0.00,,0.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Choctaw County,1.36,0.00,0.00,0.00,0.62,0.00,0.00,0.00,40.76,0.00,0.00,0.03,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.00,0.00,0.04,0.05,0.00,,0.03,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Clarke County,2.25,0.00,0.90,0.00,0.38,0.00,0.00,0.00,20.22,0.00,0.02,0.05,0.16,0.00,0.00,0.02,0.00,0.05,0.00,0.00,0.00,0.05,0.11,0.00,0.00,0.03,0.05,0.03,,0.03,,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Clay County,0.00,0.00,1.66,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.13,0.17,0.00,,0.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Cleburne County,0.00,0.00,0.56,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.45,0.00,0.00,0.00,0.16,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.16,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Coffee County,7.60,0.00,0.00,0.00,0.72,0.00,1.13,0.00,0.00,0.00,0.70,2.97,4.84,0.02,0.00,0.70,2.81,4.58,0.02,0.00,0.00,0.16,0.26,0.00,0.00,0.34,0.46,0.48,,0.26,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Colbert County,0.57,0.00,8.22,0.00,0.27,0.00,0.21,0.00,69.54,0.00,0.89,1.30,3.20,0.00,0.00,0.89,0.89,2.66,0.00,0.00,0.00,0.41,0.54,0.00,0.00,0.13,0.16,0.00,,0.00,,0.00,0.00,0.73,0.00,0.00,0.00,1262.30,0.00,0.00,0.00,1262.30,0.00,0.00,0.00,0.00,0.00
AL,Conecuh County,1.69,0.00,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.19,0.00,0.00,0.06,0.00,0.13,0.00,0.00,0.00,0.03,0.06,0.00,0.00,0.06,0.10,0.07,,0.07,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Coosa County,0.30,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.08,0.00,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.02,0.03,0.00,,0.00,,0.08,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Covington County,4.95,0.00,0.00,0.00,0.88,0.00,0.05,0.00,0.00,0.00,0.79,1.17,1.86,0.02,0.00,0.79,1.05,1.60,0.02,0.00,0.00,0.12,0.26,0.00,0.00,0.25,0.34,0.05,,0.05,,0.05,0.00,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,0.00
AL,Crenshaw County,2.05,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.67,0.01,0.00,0.00,0.23,0.61,0.01,0.00,0.00,0.02,0.06,0.00,0.00,0.28,0.39,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Cullman County,0.48,0.00,30.57,0.00,0.24,0.00,0.43,0.00,1.83,0.00,1.08,1.17,1.51,0.01,0.01,1.08,1.08,1.30,0.01,0.01,0.00,0.09,0.21,0.00,0.00,1.04,1.01,0.00,,0.00,,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Dale County,6.85,0.00,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.87,1.29,3.00,0.02,0.00,0.87,1.13,2.74,0.02,0.00,0.00,0.16,0.26,0.00,0.00,0.18,0.24,0.00,,0.05,,0.05,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Dallas County,5.90,0.00,0.00,0.00,0.64,0.00,0.14,0.00,32.19,0.00,0.37,2.05,3.49,0.01,0.01,0.37,1.91,3.23,0.01,0.01,0.00,0.14,0.26,0.00,0.00,0.12,0.18,5.00,,2.14,,0.27,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,De Kalb County,0.81,0.00,6.30,0.00,1.32,0.00,0.77,0.00,0.00,0.00,0.10,0.48,1.35,0.01,0.01,0.10,0.29,0.99,0.01,0.01,0.00,0.19,0.36,0.00,0.00,0.97,1.09,0.00,,0.00,,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Elmore County,3.70,0.00,9.65,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.42,1.14,2.60,0.02,0.00,0.42,0.62,1.92,0.02,0.00,0.00,0.52,0.68,0.00,0.00,0.08,0.09,0.00,,0.05,,0.32,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Escambia County,5.68,0.00,0.00,0.00,0.63,0.00,1.47,0.00,33.66,0.00,2.18,0.84,2.46,0.01,0.00,2.18,0.73,2.25,0.01,0.00,0.00,0.11,0.21,0.00,0.00,0.06,0.08,0.02,,0.01,,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Etowah County,4.69,0.00,15.68,0.00,0.31,0.00,0.00,0.00,9.21,0.00,0.00,0.67,1.30,0.01,0.01,0.00,0.25,0.57,0.01,0.01,0.00,0.42,0.73,0.00,0.00,0.19,0.23,0.00,,0.31,,0.24,0.00,0.11,0.00,0.00,0.00,114.66,0.00,0.00,0.00,114.66,0.00,0.00,0.00,0.00,0.00
AL,Fayette County,0.05,0.00,1.98,0.00,0.52,0.00,0.00,0.00,1.10,0.00,0.00,0.17,0.76,0.00,0.00,0.00,0.14,0.70,0.00,0.00,0.00,0.03,0.06,0.00,0.00,0.07,0.09,0.02,,0.02,,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Franklin County,1.08,0.00,3.49,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.34,0.00,0.00,0.00,0.07,0.18,0.00,0.00,0.00,0.08,0.16,0.00,0.00,0.32,0.43,0.00,,0.00,,0.31,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Geneva County,2.00,0.00,0.00,0.00,0.76,0.00,0.00,0.00,0.00,0.00,1.72,1.94,3.62,0.03,0.01,1.72,1.92,3.56,0.03,0.01,0.00,0.02,0.06,0.00,0.00,0.35,0.45,0.10,,0.03,,0.07,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Greene County,1.10,0.00,0.00,0.00,0.35,0.00,0.03,0.00,0.00,0.00,0.08,0.04,0.34,0.00,0.00,0.08,0.02,0.28,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.08,0.13,5.71,,4.13,,0.00,0.00,0.00,0.00,0.00,0.00,354.71,0.00,0.00,0.00,354.71,0.00,0.00,0.00,0.00,0.00
AL,Hale County,1.71,0.00,0.00,0.00,0.20,0.00,0.02,0.00,0.00,0.00,0.03,0.06,0.19,0.00,0.00,0.03,0.00,0.09,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.13,0.16,11.77,,6.06,,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Henry County,1.81,0.00,0.00,0.00,0.26,0.00,0.54,0.00,0.00,0.00,0.89,2.71,5.56,0.02,0.00,0.89,2.68,5.50,0.02,0.00,0.00,0.03,0.06,0.00,0.00,0.11,0.17,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Houston County,16.79,0.00,0.00,0.00,1.37,0.00,0.17,0.00,0.00,0.00,7.97,2.10,14.58,0.26,0.23,7.97,1.68,14.00,0.26,0.23,0.00,0.42,0.58,0.00,0.00,0.14,0.20,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,89.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,89.30,0.00
AL,Jackson County,0.67,0.00,10.70,0.00,0.82,0.00,0.00,0.00,8.91,0.00,0.59,0.55,1.35,0.00,0.00,0.59,0.30,0.89,0.00,0.00,0.00,0.25,0.46,0.00,0.00,0.32,0.39,0.00,,0.00,,0.06,0.00,0.03,0.00,0.00,0.00,1044.42,0.00,0.00,0.00,1044.42,0.00,0.00,0.00,0.00,0.00
AL,Jefferson County,8.45,0.00,67.41,0.00,0.46,0.00,0.50,0.00,0.00,0.00,0.01,2.47,3.62,0.00,0.00,0.01,0.09,0.24,0.00,0.00,0.00,2.38,3.38,0.00,0.00,0.03,0.04,0.01,,0.45,,0.85,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Lamar County,1.51,0.00,0.00,0.00,0.27,0.00,0.11,0.00,0.00,0.00,0.00,0.09,0.18,0.00,0.00,0.00,0.03,0.08,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.05,0.05,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Lauderdale County,1.14,0.00,10.91,0.00,1.19,0.00,0.00,0.00,0.00,0.00,2.08,1.70,2.45,0.00,0.00,2.08,1.39,1.99,0.00,0.00,0.00,0.31,0.46,0.00,0.00,0.19,0.27,0.02,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Lawrence County,0.00,0.00,7.69,0.00,0.38,0.00,0.00,0.00,60.11,0.00,0.88,2.99,4.77,0.00,0.00,0.88,2.91,4.61,0.00,0.00,0.00,0.08,0.16,0.00,0.00,0.30,0.40,0.05,,0.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Lee County,1.10,0.00,14.87,0.00,0.77,0.00,0.00,0.00,0.00,0.00,0.07,1.00,1.69,0.01,0.00,0.07,0.34,0.76,0.01,0.00,0.00,0.66,0.93,0.00,0.00,0.04,0.06,0.02,,0.03,,0.16,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Limestone County,2.70,0.00,8.12,0.00,0.68,0.00,0.00,0.00,0.00,0.00,2.79,4.81,9.33,0.00,0.00,2.79,4.56,8.87,0.00,0.00,0.00,0.25,0.46,0.00,0.00,0.16,0.21,0.18,,0.15,,0.00,0.00,0.07,0.00,0.00,0.00,2724.37,0.00,0.00,0.00,2724.37,0.00,0.00,0.00,0.00,0.00
AL,Lowndes County,1.13,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,2.20,2.99,0.05,0.00,0.00,2.20,2.99,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.34,0.00,,0.03,,0.31,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Macon County,0.96,0.00,3.12,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.74,1.41,2.69,0.04,0.00,0.74,1.41,2.69,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.00,,0.00,,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Madison County,28.64,0.00,39.77,0.00,0.78,0.00,0.00,0.00,0.79,0.00,5.76,2.65,9.06,0.00,0.00,5.76,1.74,7.70,0.00,0.00,0.00,0.91,1.36,0.00,0.00,0.12,0.17,0.00,,0.00,,0.31,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Marengo County,2.49,0.00,0.00,0.00,0.52,0.00,0.20,0.00,18.52,0.00,0.01,0.14,0.27,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.14,0.26,0.00,0.00,0.11,0.18,1.45,,1.19,,0.16,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Marion County,0.70,0.00,4.83,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.11,0.06,0.39,0.00,0.00,0.11,0.00,0.29,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.18,0.25,0.00,,0.00,,0.03,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Marshall County,4.35,0.00,22.29,0.00,0.48,0.00,0.08,0.00,0.00,0.00,0.85,1.04,2.41,0.00,0.00,0.85,0.47,1.51,0.00,0.00,0.00,0.57,0.90,0.00,0.00,0.59,0.59,0.00,,0.00,,0.12,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Mobile County,15.76,0.00,70.25,0.00,2.62,0.00,7.03,0.00,0.70,0.00,9.32,1.36,5.73,0.16,0.01,9.32,0.48,4.39,0.16,0.01,0.00,0.88,1.34,0.00,0.00,0.13,0.16,0.00,,0.00,,0.11,0.00,0.00,0.00,0.00,0.00,989.29,0.00,0.00,0.00,989.29,0.00,0.00,0.00,0.00,0.00
AL,Monroe County,2.65,0.00,0.00,0.00,0.47,0.00,0.12,0.00,46.29,0.00,0.49,0.06,0.93,0.01,0.00,0.49,0.00,0.83,0.01,0.00,0.00,0.06,0.10,0.00,0.00,0.07,0.11,0.03,,0.03,,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Montgomery County,13.92,0.00,19.47,0.00,0.34,0.00,0.04,0.00,0.01,0.00,0.59,0.90,1.86,0.01,0.00,0.59,0.24,0.78,0.01,0.00,0.00,0.66,1.08,0.00,0.00,0.24,0.35,0.16,,0.17,,0.98,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Morgan County,0.00,0.00,33.38,0.00,0.28,0.00,0.00,0.00,81.41,0.00,0.59,0.46,1.04,0.00,0.00,0.59,0.14,0.54,0.00,0.00,0.00,0.32,0.50,0.00,0.00,0.30,0.37,0.02,,0.02,,0.26,0.00,0.12,0.00,0.00,0.00,6.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.43,0.00
AL,Perry County,1.70,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.17,0.00,0.00,0.04,0.00,0.11,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.08,0.10,4.58,,4.01,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Pickens County,2.70,0.00,0.00,0.00,0.42,0.00,0.01,0.00,0.00,0.00,0.00,1.41,0.97,0.00,0.00,0.00,1.36,0.86,0.00,0.00,0.00,0.05,0.11,0.00,0.00,0.31,0.32,0.50,,0.50,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Pike County,5.03,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.43,1.43,2.81,0.04,0.00,0.43,1.32,2.60,0.04,0.00,0.00,0.11,0.21,0.00,0.00,0.24,0.34,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Randolph County,0.00,0.00,1.52,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.28,0.00,0.00,0.04,0.04,0.22,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.20,0.23,0.00,,0.00,,0.06,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Russell County,1.48,0.00,7.32,0.00,0.23,0.00,0.92,0.00,27.63,0.00,0.00,2.42,2.02,0.02,0.00,0.00,2.36,1.92,0.02,0.00,0.00,0.06,0.10,0.00,0.00,0.04,0.06,0.00,,0.00,,0.39,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,St Clair County,9.61,0.00,0.31,0.00,0.59,0.00,0.00,0.00,4.45,0.00,0.89,1.21,2.21,0.03,0.03,0.89,1.08,2.01,0.03,0.03,0.00,0.13,0.20,0.00,0.00,0.15,0.21,0.00,,0.04,,0.41,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Shelby County,13.25,0.00,2.63,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,3.23,3.21,0.01,0.00,0.00,2.80,2.49,0.01,0.00,0.00,0.43,0.72,0.00,0.00,0.04,0.06,0.00,,0.00,,2.71,0.00,0.00,0.00,0.00,0.00,666.24,0.00,0.00,0.00,666.24,0.00,0.00,0.00,0.00,0.00
AL,Sumter County,1.82,0.00,0.00,0.00,0.09,0.00,0.00,0.00,2.03,0.00,0.17,0.05,0.57,0.00,0.00,0.17,0.00,0.46,0.00,0.00,0.00,0.05,0.11,0.00,0.00,0.12,0.18,1.49,,1.55,,0.78,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Talladega County,9.52,0.00,8.03,0.00,1.24,0.00,0.00,0.00,24.67,0.00,0.34,1.35,3.72,0.00,0.00,0.34,1.02,3.26,0.00,0.00,0.00,0.33,0.46,0.00,0.00,0.10,0.13,0.00,,0.00,,0.42,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Tallapoosa County,0.00,0.00,10.38,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.17,0.19,0.35,0.00,0.00,0.17,0.00,0.05,0.00,0.00,0.00,0.19,0.30,0.00,0.00,0.04,0.06,0.02,,0.78,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Tuscaloosa County,1.47,0.00,28.44,0.00,0.82,0.00,0.74,0.00,2.13,0.00,0.87,2.65,2.68,0.00,0.00,0.87,2.11,1.90,0.00,0.00,0.00,0.54,0.78,0.00,0.00,0.09,0.11,0.04,,0.00,,0.00,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Walker County,0.16,0.00,35.59,0.00,0.44,0.00,0.00,0.00,0.00,0.00,0.76,0.25,1.14,0.00,0.00,0.76,0.00,0.62,0.00,0.00,0.00,0.25,0.52,0.00,0.00,0.12,0.16,0.01,,0.02,,0.12,0.00,0.37,0.00,0.00,0.00,916.97,0.00,0.00,0.00,886.70,0.00,0.00,0.00,30.27,0.00
AL,Washington County,2.07,0.00,0.00,0.00,0.56,0.00,6.15,0.00,4.87,0.00,0.09,0.02,0.16,0.00,0.00,0.09,0.00,0.10,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.09,0.10,0.03,,0.00,,0.11,0.00,0.00,0.00,0.00,0.00,75.54,0.00,0.00,0.00,75.54,0.00,0.00,0.00,0.00,0.00
AL,Wilcox County,1.14,0.00,1.82,0.00,0.25,0.00,0.00,0.00,18.31,0.00,0.05,0.02,0.20,0.00,0.00,0.05,0.00,0.14,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.07,0.11,0.23,,0.23,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AL,Winston County,0.00,0.00,0.97,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.14,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.06,0.10,0.00,0.00,0.17,0.19,0.00,,0.00,,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AK,Aleutians East Borough,0.01,0.00,1.01,0.00,0.01,0.05,0.00,0.00,0.90,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
